Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,s 11,s12,s21,s22,Alpha 11,Alpha 12,Alpha 21,Alpha 22,P 11,P12,P21,P22,beta_1,beta_2,beta_3,beta4,beta 5
f86b0dc2a8,0.497336298,0.515644252,0.749541581,0.767956734,0.301994115,0.494646013,0.028557867,0.121454574,0.038169414,0.019230964,0.342607737,0.267936796,0.391155094,0.509439528,0.435367614,0.563680768,0.054195814,0.005211085,0.144117549,0.021499919,10,10,10,1,10
21fe8fc425,0.859797359,0.496659219,0.868836999,0.502803266,0.802638054,1.013179302,0.75262177,0.955224037,0.913666427,0.739842474,1.237542868,1.027916789,0.620435536,0.525757551,0.454540312,0.380491018,1.140694618,1.256738186,1.341826797,1.46720314,1,1,1,1,1
ccf9334e3d,0.870681703,0.709395647,0.562404633,0.44562608,1.474191546,1.022379637,0.897544742,0.569987774,0.966381431,0.845140278,0.730285883,0.62990433,0.347802788,0.753169358,0.435607493,0.906153321,0.390224904,0.473322868,0.678139329,0.802181304,1,1,1,1,1
542a649dd0,0.9035525918006897,0.7127799391746521,0.2920740842819214,0.21524712443351746,0.3770138621330261,0.1960432380437851,1.3360981941223145,0.8442609906196594,0.38678300380706787,1.7541261911392212,0.5629771947860718,2.157397747039795,0.49829816818237305,0.20944076776504517,0.6198104619979858,0.26979508996009827,0.9678183197975159,2.934269666671753,1.3585858345031738,3.4824180603027344,1,1,1,1,1
37e3d54f3c,0.7146618366241455,0.687165379524231,0.3039504885673523,0.28993159532546997,1.001441478729248,0.5213261246681213,1.5524609088897705,0.9079525470733643,0.2271036058664322,1.3142210245132446,0.873153567314148,2.7654757499694824,0.5207403898239136,0.2086390256881714,0.8212321996688843,0.3593086302280426,1.6493220329284668,4.316235065460205,1.979617714881897,4.706938743591309,1,1,1,1,1
1bbee928a2,0.5850728154182434,0.4740314483642578,0.28220808506011963,0.2220943570137024,0.262673020362854,0.05152461305260658,1.6684824228286743,0.5639421939849854,0.19836589694023132,1.1871578693389893,1.3322882652282715,3.3998916149139404,0.49166470766067505,0.1762349158525467,0.9436168670654297,0.3894931674003601,1.2595536708831787,2.8011302947998047,1.53406822681427,3.1477396488189697,1,1,1,1,1
fe22eddd71,0.6866160035133362,0.764289379119873,0.21422246098518372,0.24509620666503906,0.37299925088882446,0.13744695484638214,2.9575932025909424,1.938521385192871,0.3341695964336395,1.0922348499298096,1.3651916980743408,2.744737148284912,0.5849291086196899,0.3171919286251068,0.9718886613845825,0.5718360543251038,1.2583577632904053,2.230583667755127,0.8850510120391846,1.7388663291931152,1,1,1.0,1,1
b8b9ef41fa,0.8740673065185547,1.3519856929779053,0.3007788062095642,0.5422456860542297,1.7314035892486572,1.9262566566467285,0.26902127265930176,0.328855037689209,0.01316082663834095,1.2975800037384033,0.40291720628738403,2.2091634273529053,0.48674774169921875,0.26697903871536255,0.724443793296814,0.41810351610183716,3.9135327339172363,6.88661003112793,2.828322649002075,5.7627668380737305,1,1,5.0,1,1
88c5566bfa,1.2163465023040771,1.2060248851776123,0.30605804920196533,0.3022032380104065,0.5946683883666992,0.26910123229026794,0.25908738374710083,0.10652636736631393,0.014206300489604473,1.5123845338821411,0.8183678388595581,2.518685817718506,0.5365378856658936,0.20764733850955963,0.9022318720817566,0.3894481360912323,1.5707268714904785,4.482172966003418,1.9152536392211914,4.896534442901611,1,1,10.0,1,1
188a083a13,1.3182731866836548,1.0401990413665771,0.3171851336956024,0.22277435660362244,2.316196918487549,2.332061529159546,0.09422911703586578,0.09582332521677017,0.15006230771541595,1.3181748390197754,0.897283136844635,3.2409448623657227,0.6415174007415771,0.25843584537506104,0.7642205953598022,0.31933316588401794,1.5274208784103394,4.883003234863281,1.2714039087295532,4.545684337615967,1,1,1,1,1.0
20cc4b96f0,1.3955391645431519,0.8043230772018433,0.38012945652008057,0.17234201729297638,0.47376900911331177,0.16041074693202972,2.2269675731658936,1.2163383960723877,0.11915502697229385,1.1171683073043823,0.15065614879131317,1.2925305366516113,0.5836701393127441,0.22379307448863983,0.7570862770080566,0.3061806261539459,0.11696787923574448,2.86533784866333,4.166491635260172e-06,0.7600213885307312,1,1,1,1,5.0
263f1f2e84,0.6441673636436462,1.1464277505874634,0.37783148884773254,0.7371089458465576,0.6905665397644043,0.2542085647583008,1.4684418439865112,0.6792804598808289,0.3231547176837921,1.427750587463379,0.8267689943313599,2.4581668376922607,0.5965508222579956,0.23569276928901672,1.0446165800094604,0.470119833946228,1.812644600868225,2.934095621109009,2.54536771774292,3.6668190956115723,1,1,1,1,10.0
3e7fd06b44,0.25782033801078796,0.15882402658462524,0.3057125508785248,0.1900317519903183,1.8503031730651855,3.1267175674438477,0.22347846627235413,0.7021647691726685,0.7952477931976318,2.9473257064819336,0.09573337435722351,0.9134599566459656,0.7283676862716675,0.7006437182426453,0.5462625622749329,0.5237643718719482,2.335075616836548,4.083803176879883,0.4506590962409973,1.5177348852157593,1,1,1.0,1,1.0
67c2d936aa,1.1223092079162598,0.6517384052276611,0.4178374409675598,0.20703358948230743,0.5869883298873901,0.25857558846473694,2.2164146900177,1.3914270401000977,0.16641493141651154,1.115710973739624,0.7266898155212402,2.5729708671569824,0.6122339963912964,0.20553815364837646,0.7855351567268372,0.27951645851135254,1.3012490272521973,4.622445583343506,1.197729229927063,4.478814125061035,1,1,1.0,1,1.0
b7415902a9,0.5034846067428589,0.18375198543071747,0.38065609335899353,0.1334618777036667,3.2731268405914307,4.533706188201904,0.04420449957251549,0.15179869532585144,0.45652633905410767,2.487377166748047,0.025598859414458275,0.4016576111316681,0.6843729019165039,0.5066928863525391,0.5455581545829773,0.39692193269729614,2.480982542037964,5.252848148345947,0.07452802360057831,0.8514309525489807,1,1,1.0,1,1.0
04056eba19,1.8308571577072144,1.4298555850982666,0.4735351800918579,0.31290459632873535,2.698176383972168,2.8572399616241455,0.47927355766296387,0.5472946763038635,0.007064805831760168,1.1059672832489014,0.22919225692749023,1.9229522943496704,0.7270740866661072,0.3035580813884735,0.7244609594345093,0.3022347688674927,5.449730396270752,6.457796573638916,2.993171215057373,3.971571445465088,1,1,5.0,1,1.0
0c01fcb42a,0.5946965217590332,0.5382145047187805,0.18691211938858032,0.16580544412136078,0.3228670656681061,0.27689623832702637,0.1648344099521637,0.13977816700935364,0.5011731386184692,1.1592950820922852,2.161769151687622,2.836304187774658,0.6673992276191711,0.4305642545223236,1.2583256959915161,0.8872487545013428,1.7574514150619507,4.033292770385742,1.9706443548202515,4.281764030456543,1,1,5.0,1,1.0
11773eab2d,0.5103729367256165,1.0085523128509521,0.5793569684028625,1.116060733795166,0.41916218400001526,0.06899072229862213,4.018847942352295,2.139470338821411,0.0015832664212211967,1.8772494792938232,0.0004201781121082604,1.6114009618759155,0.4158433973789215,0.2732071876525879,0.6453067064285278,0.43977177143096924,3.0265185832977295,6.334033012390137,1.3643310070037842,4.436563491821289,1,1,5.0,1,1.0
cd6724c05c,0.7308346033096313,1.1893360614776611,0.31641578674316406,0.5820904970169067,0.5570472478866577,0.2525497376918793,1.456225872039795,0.8188072443008423,0.024468492716550827,1.3943569660186768,1.12038254737854,2.6430327892303467,0.47574740648269653,0.22907866537570953,0.7959823608398438,0.41483089327812195,1.3247883319854736,3.4920201301574707,0.8648167848587036,2.824676036834717,1,1,10.0,1,1.0
